iter	RMSE
0	1.113084149
1	1.059548385
2	1.011114216
3	0.9653139718
4	0.9230220223
5	0.8834292279
6	0.8460820626
7	0.8125173331
8	0.7812702256
9	0.7513359596
10	0.7231697157
11	0.6964904014
12	0.6729417987
13	0.6516873697
14	0.6312147348
15	0.6126445912
16	0.5952221337
17	0.5784881514
18	0.5641916011
19	0.5499769594
20	0.5368690783
21	0.5257862384
22	0.5157744189
23	0.5049569083
24	0.4953904761
25	0.4876237395
26	0.4799149042
27	0.472535307
28	0.4659739871
29	0.459902168
30	0.4547731971
31	0.4494905328
32	0.4448499339
33	0.4406936181
34	0.4368242558
35	0.43316448
36	0.4300791133
37	0.426677667
38	0.422783911
39	0.4191934704
40	0.4159908901
41	0.4130599694
42	0.4092456482
43	0.4062829271
44	0.4030312306
45	0.4003012667
46	0.3977238487
47	0.3956291641
48	0.3930279778
49	0.3904532411
50	0.3886135096
51	0.3860183151
52	0.3835331052
53	0.3818327926
54	0.379672468
55	0.3783269472
56	0.3770026803
57	0.3750947082
58	0.3743614188
59	0.372684979
60	0.3714084209
61	0.3696743143
62	0.3686061008
63	0.3674089227
64	0.3661923453
65	0.3646096773
66	0.3638242798
67	0.3625395967
68	0.3616167096
69	0.3601916081
70	0.3587791055
71	0.3575910245
72	0.3568950683
73	0.3556334245
74	0.3549710924
75	0.3534076657
76	0.3526777641
77	0.3521197493
78	0.3510963091
79	0.3503688852
80	0.3492896599
81	0.3480237121
82	0.3470485108
83	0.3459939578
84	0.3448324647
85	0.3439089322
86	0.3426929789
87	0.3415266874
88	0.3408396095
89	0.3404861026
90	0.3397136302
91	0.3389526136
92	0.3379056147
93	0.3368458274
94	0.3364372062
95	0.3352355647
96	0.3338020312
97	0.3333793673
98	0.3324927518
99	0.3314453676
100	0.3302669478
101	0.329491385
102	0.3289380622
103	0.3276405794
104	0.3268118892
105	0.3260691323
106	0.3253555202
107	0.3244283662
108	0.323989862
109	0.3231299613
110	0.322806816
111	0.3220743994
112	0.3213975816
113	0.3206883799
114	0.319822714
115	0.31928693
116	0.3183446961
117	0.3175367394
118	0.3165500483
119	0.3155588475
120	0.3151600213
121	0.3145203564
122	0.3137132785
123	0.3129157744
124	0.3118099677
125	0.3107015343
126	0.3100998733
127	0.3094203754
128	0.3086171323
129	0.3079628298
130	0.3072038569
131	0.3064879681
132	0.3061536575
133	0.3054259747
134	0.3045818626
135	0.3039232169
136	0.3032608912
137	0.3023052371
138	0.3014251897
139	0.3008266439
140	0.300398442
141	0.2997657452
142	0.2988272152
143	0.2981533801
144	0.2969372552
145	0.2966249425
146	0.2960173726
147	0.2953161613
148	0.2947771723
149	0.2939501717
150	0.2932962374
151	0.2928551307
152	0.2921947276
153	0.2912675415
154	0.290556321
155	0.2899656315
156	0.2891900196
157	0.2884718297
158	0.2878170736
159	0.2872802835
160	0.2864958034
161	0.2860798513
162	0.2850025925
163	0.2844456785
164	0.283983282
165	0.2835030678
166	0.2831259608
167	0.2827476302
