iter	Passed	Remaining
0	30	30454
1	60	30367
2	106	35296
3	144	35939
4	180	36012
5	216	35838
6	261	37026
7	297	36901
8	333	36775
9	368	36516
10	429	38639
11	464	38236
12	504	38319
13	534	37674
14	570	37443
15	602	37037
16	637	36848
17	666	36361
18	700	36173
19	731	35822
20	767	35771
21	793	35279
22	825	35084
23	858	34914
24	894	34867
25	926	34715
26	964	34747
27	1002	34807
28	1039	34805
29	1073	34708
30	1110	34727
31	1144	34613
32	1186	34758
33	1216	34552
34	1250	34484
35	1283	34364
36	1317	34282
37	1349	34158
38	1392	34307
39	1421	34105
40	1457	34082
41	1489	33966
42	1524	33923
43	1553	33754
44	1586	33668
45	1614	33489
46	1653	33534
47	1682	33367
48	1714	33277
49	1745	33166
50	1795	33409
51	1829	33361
52	1869	33398
53	1902	33323
54	1935	33260
55	1966	33149
56	2007	33208
57	2039	33119
58	2074	33084
59	2104	32965
60	2141	32965
61	2194	33206
62	2235	33253
63	2271	33222
64	2309	33221
65	2340	33123
66	2378	33122
67	2410	33043
68	2445	33003
69	2476	32900
70	2513	32882
71	2545	32807
72	2576	32713
73	2610	32662
74	2652	32713
75	2687	32669
76	2720	32606
77	2751	32525
78	2785	32474
79	2815	32379
80	2854	32388
81	2887	32323
82	2921	32281
83	2951	32185
84	2987	32161
85	3019	32094
86	3056	32077
87	3088	32010
88	3120	31945
89	3140	31749
90	3182	31794
91	3212	31701
92	3244	31645
93	3275	31566
94	3306	31502
95	3339	31449
96	3375	31422
97	3407	31362
98	3439	31305
99	3473	31257
100	3509	31241
101	3540	31171
102	3581	31187
103	3614	31140
104	3649	31107
105	3678	31027
106	3713	30990
107	3746	30941
108	3779	30894
109	3808	30813
110	3840	30761
111	3873	30712
112	3907	30670
113	3938	30611
114	3978	30617
115	4008	30544
116	4050	30566
117	4081	30508
118	4116	30479
119	4145	30403
120	4181	30375
121	4210	30299
122	4241	30243
123	4272	30186
124	4317	30222
125	4349	30170
126	4384	30142
127	4414	30075
128	4447	30029
129	4478	29971
130	4512	29930
131	4541	29864
132	4575	29827
133	4609	29790
134	4643	29753
135	4675	29702
136	4708	29661
137	4737	29593
138	4772	29561
139	4804	29512
140	4837	29469
141	4866	29402
142	4899	29361
143	4931	29315
144	4964	29275
145	4997	29232
146	5046	29281
147	5076	29226
148	5112	29197
149	5143	29146
150	5178	29117
151	5209	29063
152	5243	29028
153	5273	28971
154	5309	28944
155	5341	28896
156	5383	28904
157	5419	28883
158	5454	28849
159	5485	28801
160	5520	28767
161	5550	28709
162	5592	28717
163	5621	28656
164	5656	28623
165	5691	28592
166	5733	28601
167	5763	28541
168	5801	28526
169	5833	28482
170	5874	28481
171	5905	28429
172	5940	28397
173	5975	28368
174	6015	28359
175	6051	28330
176	6085	28294
177	6118	28257
178	6148	28201
179	6178	28147
180	6214	28121
181	6245	28068
182	6279	28036
183	6310	27983
184	6346	27959
185	6379	27918
186	6414	27888
187	6449	27854
188	6485	27827
189	6514	27773
190	6554	27760
191	6584	27710
192	6617	27668
193	6655	27649
194	6695	27639
195	6725	27589
196	6757	27544
197	6787	27491
198	6824	27470
199	6855	27421
200	6892	27397
201	6924	27354
202	6961	27332
203	6991	27280
204	7032	27272
205	7066	27235
206	7100	27200
207	7129	27147
208	7162	27108
209	7192	27056
210	7227	27025
211	7260	26985
212	7291	26940
213	7322	26893
214	7353	26849
215	7385	26808
216	7416	26762
217	7451	26728
218	7487	26702
219	7520	26665
220	7557	26640
221	7588	26593
222	7624	26565
223	7655	26522
224	7694	26503
225	7727	26464
226	7761	26430
227	7790	26379
228	7825	26347
229	7859	26310
230	7900	26301
231	7931	26255
232	7974	26249
233	8003	26200
234	8036	26161
235	8067	26115
236	8104	26093
237	8138	26057
238	8174	26028
239	8205	25983
240	8238	25946
241	8271	25908
242	8302	25864
243	8335	25827
244	8370	25795
245	8402	25753
246	8437	25723
247	8469	25681
248	8500	25637
249	8532	25598
250	8567	25567
251	8597	25520
252	8632	25488
253	8665	25451
254	8698	25412
255	8727	25365
256	8764	25337
257	8793	25288
258	8827	25254
259	8859	25214
260	8894	25184
261	8924	25139
262	8961	25112
263	8991	25066
264	9032	25052
265	9066	25017
266	9100	24985
267	9133	24945
268	9166	24910
269	9196	24864
270	9231	24833
271	9262	24791
272	9295	24755
273	9325	24709
274	9360	24677
275	9393	24640
276	9425	24602
277	9458	24565
278	9490	24524
279	9524	24490
280	9559	24460
281	9589	24416
282	9622	24379
283	9653	24337
284	9687	24304
285	9718	24261
286	9750	24222
287	9779	24176
288	9817	24153
289	9849	24113
290	9881	24074
291	9911	24031
292	9946	23999
293	9975	23955
294	10014	23932
295	10043	23887
296	10076	23851
297	10106	23806
298	10138	23769
299	10174	23740
300	10215	23723
301	10247	23684
302	10280	23648
303	10311	23607
304	10350	23585
305	10381	23544
306	10417	23516
307	10448	23475
308	10482	23440
309	10511	23395
310	10547	23368
311	10579	23329
312	10611	23291
313	10642	23251
314	10675	23215
315	10705	23172
316	10737	23133
317	10771	23102
318	10804	23066
319	10835	23025
320	10869	22991
321	10899	22949
322	10935	22920
323	10967	22883
324	11002	22850
325	11031	22806
326	11062	22767
327	11095	22732
328	11133	22706
329	11163	22665
330	11196	22628
331	11227	22589
332	11259	22552
333	11289	22511
334	11323	22478
335	11355	22441
336	11391	22411
337	11422	22371
338	11462	22350
339	11492	22309
340	11526	22275
341	11560	22241
342	11594	22209
343	11627	22174
344	11661	22139
345	11690	22096
346	11723	22061
347	11753	22021
348	11786	21985
349	11817	21947
350	11852	21915
351	11885	21879
352	11918	21845
353	11947	21803
354	11985	21776
355	12014	21734
356	12050	21704
357	12083	21669
358	12122	21644
359	12155	21609
360	12195	21586
361	12227	21550
362	12265	21523
363	12294	21481
364	12327	21447
365	12359	21409
366	12394	21378
367	12427	21342
368	12463	21312
369	12496	21278
370	12527	21238
371	12556	21198
372	12599	21178
373	12632	21144
374	12673	21122
375	12702	21081
376	12734	21043
377	12763	21002
378	12799	20971
379	12830	20934
380	12861	20896
381	12890	20854
382	12925	20822
383	12970	20807
384	13009	20780
385	13039	20741
386	13074	20710
387	13104	20669
388	13136	20633
389	13167	20595
390	13200	20560
391	13230	20520
392	13268	20493
393	13297	20452
394	13333	20421
395	13368	20389
396	13399	20353
397	13430	20314
398	13463	20279
399	13494	20241
400	13526	20205
401	13556	20165
402	13590	20132
403	13621	20095
404	13656	20063
405	13688	20027
406	13721	19991
407	13753	19956
408	13788	19924
409	13817	19883
410	13855	19855
411	13886	19819
412	13922	19788
413	13952	19749
414	13992	19723
415	14021	19684
416	14061	19658
417	14095	19625
418	14137	19602
419	14166	19563
420	14201	19531
421	14233	19495
422	14266	19460
423	14298	19423
424	14328	19386
425	14362	19351
426	14401	19325
427	14432	19287
428	14464	19252
429	14496	19215
430	14529	19181
431	14560	19144
432	14597	19114
433	14626	19075
434	14667	19050
435	14698	19013
436	14731	18978
437	14763	18942
438	14799	18912
439	14830	18875
440	14869	18848
441	14899	18810
442	14940	18785
443	14974	18751
444	15006	18716
445	15036	18677
446	15069	18643
447	15102	18607
448	15135	18573
449	15167	18538
450	15203	18506
451	15236	18472
452	15271	18440
453	15302	18403
454	15335	18368
455	15365	18330
456	15401	18300
457	15432	18263
458	15465	18228
459	15498	18193
460	15529	18157
461	15560	18120
462	15596	18089
463	15626	18050
464	15657	18014
465	15690	17979
466	15730	17954
467	15764	17920
468	15800	17889
469	15832	17854
470	15867	17821
471	15907	17794
472	15947	17768
473	15984	17738
474	16018	17705
475	16048	17666
476	16078	17629
477	16109	17592
478	16147	17563
479	16180	17529
480	16213	17494
481	16243	17456
482	16274	17419
483	16303	17381
484	16338	17348
485	16367	17310
486	16398	17274
487	16432	17240
488	16465	17206
489	16496	17170
490	16530	17136
491	16563	17102
492	16603	17074
493	16634	17038
494	16668	17004
495	16699	16968
496	16734	16936
497	16768	16903
498	16801	16869
499	16833	16833
500	16869	16801
501	16900	16765
502	16930	16728
503	16960	16691
504	17002	16665
505	17035	16631
506	17074	16603
507	17104	16565
508	17138	16532
509	17174	16500
510	17207	16466
511	17237	16429
512	17270	16395
513	17299	16357
514	17335	16325
515	17367	16290
516	17405	16260
517	17441	16229
518	17479	16199
519	17512	16165
520	17547	16132
521	17576	16094
522	17608	16059
523	17640	16024
524	17676	15993
525	17706	15955
526	17743	15925
527	17773	15888
528	17809	15857
529	17838	15819
530	17871	15785
531	17901	15748
532	17934	15713
533	17974	15685
534	18005	15649
535	18038	15615
536	18075	15584
537	18110	15551
538	18146	15520
539	18180	15486
540	18212	15452
541	18250	15422
542	18288	15392
543	18323	15359
544	18361	15329
545	18395	15295
546	18437	15269
547	18466	15231
548	18502	15199
549	18534	15164
550	18571	15133
551	18600	15096
552	18646	15072
553	18678	15037
554	18718	15008
555	18757	14979
556	18794	14948
557	18828	14914
558	18868	14885
559	18903	14852
560	18941	14821
561	18978	14791
562	19018	14762
563	19048	14725
564	19090	14698
565	19121	14662
566	19155	14628
567	19189	14594
568	19227	14563
569	19260	14529
570	19298	14498
571	19331	14464
572	19364	14430
573	19399	14397
574	19448	14375
575	19527	14374
576	19584	14357
577	19619	14324
578	19655	14292
579	19690	14258
580	19734	14231
581	19770	14199
582	19815	14173
583	19855	14143
584	19891	14110
585	19931	14081
586	19966	14048
587	20002	14015
588	20033	13979
589	20066	13944
590	20100	13910
591	20135	13877
592	20173	13845
593	20205	13810
594	20266	13795
595	20307	13765
596	20345	13733
597	20379	13700
598	20417	13668
599	20450	13633
600	20491	13604
601	20521	13567
602	20556	13533
603	20590	13499
604	20623	13464
605	20657	13431
606	20702	13403
607	20733	13367
608	20782	13343
609	20816	13309
610	20858	13279
611	20894	13246
612	20932	13215
613	20965	13180
614	21012	13154
615	21050	13122
616	21095	13094
617	21129	13060
618	21169	13030
619	21202	12995
620	21239	12962
621	21273	12928
622	21315	12898
623	21346	12862
624	21377	12826
625	21410	12791
626	21449	12760
627	21486	12727
628	21528	12698
629	21563	12664
630	21602	12632
631	21642	12601
632	21687	12573
633	21724	12541
634	21759	12507
635	21792	12472
636	21826	12438
637	21859	12403
638	21891	12367
639	21923	12331
640	21960	12299
641	22000	12268
642	22039	12236
643	22078	12204
644	22115	12172
645	22149	12137
646	22191	12107
647	22226	12073
648	22265	12042
649	22296	12005
650	22329	11970
651	22362	11936
652	22395	11900
653	22428	11865
654	22468	11834
655	22504	11801
656	22547	11771
657	22583	11737
658	22615	11702
659	22649	11668
660	22683	11633
661	22717	11599
662	22756	11566
663	22789	11531
664	22833	11502
665	22867	11467
666	22900	11433
667	22936	11399
668	22998	11379
669	23032	11344
670	23073	11313
671	23105	11277
672	23144	11245
673	23176	11210
674	23211	11175
675	23245	11141
676	23277	11105
677	23313	11071
678	23350	11039
679	23385	11004
680	23423	10972
681	23461	10939
682	23503	10908
683	23542	10876
684	23577	10842
685	23607	10805
686	23646	10773
687	23677	10737
688	23716	10705
689	23748	10669
690	23785	10636
691	23823	10603
692	23863	10571
693	23893	10535
694	23929	10501
695	23963	10466
696	24009	10437
697	24043	10402
698	24080	10369
699	24110	10333
700	24145	10298
701	24181	10265
702	24221	10232
703	24256	10198
704	24288	10163
705	24322	10128
706	24365	10097
707	24396	10061
708	24435	10029
709	24473	9996
710	24505	9960
711	24537	9925
712	24571	9890
713	24602	9854
714	24637	9820
715	24668	9784
716	24706	9751
717	24740	9717
718	24783	9686
719	24820	9652
720	24858	9619
721	24893	9584
722	24934	9552
723	24970	9519
724	25122	9529
725	25162	9496
726	25196	9461
727	25227	9425
728	25260	9390
729	25294	9355
730	25330	9321
731	25362	9285
732	25397	9251
733	25429	9215
734	25467	9182
735	25499	9146
736	25537	9112
