,Country name,região estimada,Regional_indicator_consultado_Major,Regional_indicator_consultado
36,Angola,Sub-Saharan Africa,Africa,Middle Africa
37,Angola,Sub-Saharan Africa,Africa,Middle Africa
38,Angola,Sub-Saharan Africa,Africa,Middle Africa
39,Angola,Sub-Saharan Africa,Africa,Middle Africa
173,Belize,Latin America and Caribbean,Latin America and the Caribbean,Central America
174,Belize,Sub-Saharan Africa,Latin America and the Caribbean,Central America
188,Bhutan,Sub-Saharan Africa,Asia,Southern Asia
189,Bhutan,Sub-Saharan Africa,Asia,Southern Asia
190,Bhutan,Sub-Saharan Africa,Asia,Southern Asia
331,Central African Republic,Sub-Saharan Africa,Africa,Middle Africa
332,Central African Republic,Sub-Saharan Africa,Africa,Middle Africa
333,Central African Republic,Sub-Saharan Africa,Africa,Middle Africa
334,Central African Republic,Sub-Saharan Africa,Africa,Middle Africa
335,Central African Republic,Sub-Saharan Africa,Africa,Middle Africa
401,Congo (Kinshasa),Sub-Saharan Africa,Africa,Middle Africa
402,Congo (Kinshasa),Sub-Saharan Africa,Africa,Middle Africa
403,Congo (Kinshasa),Sub-Saharan Africa,Africa,Middle Africa
404,Congo (Kinshasa),Sub-Saharan Africa,Africa,Middle Africa
405,Congo (Kinshasa),Sub-Saharan Africa,Africa,Middle Africa
406,Congo (Kinshasa),Sub-Saharan Africa,Africa,Middle Africa
407,Congo (Kinshasa),Sub-Saharan Africa,Africa,Middle Africa
408,Congo (Kinshasa),Sub-Saharan Africa,Africa,Middle Africa
481,Djibouti,Sub-Saharan Africa,Africa,Eastern Africa
482,Djibouti,Sub-Saharan Africa,Africa,Eastern Africa
483,Djibouti,Sub-Saharan Africa,Africa,Eastern Africa
484,Djibouti,Sub-Saharan Africa,Africa,Eastern Africa
1682,Sudan,Sub-Saharan Africa,Africa,Northern Africa
1683,Sudan,Sub-Saharan Africa,Africa,Northern Africa
1684,Sudan,Sub-Saharan Africa,Africa,Northern Africa
1685,Sudan,Sub-Saharan Africa,Africa,Northern Africa
1686,Sudan,Sub-Saharan Africa,Africa,Northern Africa
1718,Syria,Middle East and North Africa,Asia,Western Asia
1719,Syria,Middle East and North Africa,Asia,Western Asia
1720,Syria,Middle East and North Africa,Asia,Western Asia
1721,Syria,Middle East and North Africa,Asia,Western Asia
1722,Syria,Sub-Saharan Africa,Asia,Western Asia
1723,Syria,Sub-Saharan Africa,Asia,Western Asia
1724,Syria,Sub-Saharan Africa,Asia,Western Asia
1797,Trinidad and Tobago,Latin America and Caribbean,Latin America and the Caribbean,Caribbean
1798,Trinidad and Tobago,Sub-Saharan Africa,Latin America and the Caribbean,Caribbean
1799,Trinidad and Tobago,Latin America and Caribbean,Latin America and the Caribbean,Caribbean
1800,Trinidad and Tobago,Latin America and Caribbean,Latin America and the Caribbean,Caribbean
1801,Trinidad and Tobago,Latin America and Caribbean,Latin America and the Caribbean,Caribbean
